SECTION,CN,RU,STANDARD_REF,STATUS,NOTE
ТХ,工业流程说明,описание промышленного процесса,Внутренний словарь РК,APPROVED,
ТХ,标准工业流程,стандартный промышленный процесс,Внутренний словарь РК,APPROVED,
ТХ,原料,сырье,Внутренний словарь РК,APPROVED,
ТХ,主要原料,основное сырье,Внутренний словарь РК,APPROVED,
ТХ,辅料,вспомогательные материалы,Внутренний словарь РК,APPROVED,
ТХ,能源,энергоносители,Внутренний словарь РК,APPROVED,
ТХ,天然气,природный газ,Внутренний словарь РК,APPROVED,
ТХ,压缩空气,сжатый воздух,Внутренний словарь РК,APPROVED,
ТХ,熔铸,литье,Внутренний словарь РК,APPROVED,
ТХ,挤压,прессование,Внутренний словарь РК,APPROVED,
ТХ,时效热处理,термообработка старением,Внутренний словарь РК,APPROVED,
ТХ,表面处理,обработка поверхности,Внутренний словарь РК,APPROVED,
ТХ,包装,упаковка,Внутренний словарь РК,APPROVED,
ОВ,通风,вентиляция,Внутренний словарь РК,APPROVED,
ОВ,排风,вытяжная вентиляция,Внутренний словарь РК,APPROVED,
ОВ,送风,приточная вентиляция,Внутренний словарь РК,APPROVED,
ОВ,风管,воздуховод,Внутренний словарь РК,APPROVED,
ОВ,局部排风罩,местный вытяжной зонт,Внутренний словарь РК,APPROVED,
ВК,给排水,водоснабжение и канализация,Внутренний словарь РК,APPROVED,
ВК,排水沟,водоотводный лоток,Внутренний словарь РК,APPROVED,
ВК,污水沟,лоток сточных вод,Внутренний словарь РК,APPROVED,
ВК,方井,квадратный смотровой колодец,Внутренний словарь РК,APPROVED,
ВК,圆井,круглый смотровой колодец,Внутренний словарь РК,APPROVED,
ЭОМ,桥架,кабельный лоток,Внутренний словарь РК,APPROVED,
ЭОМ,配电箱,щит распределительный,Внутренний словарь РК,APPROVED,
КЖ,钢构柱,стальная колонна,Внутренний словарь РК,APPROVED,
КЖ,柱面,грань колонны,Внутренний словарь РК,APPROVED,
КЖ,行车牛腿,подкрановая консоль,Внутренний словарь РК,APPROVED,
АР,车间门,дверь цеха,Внутренний словарь РК,APPROVED,
АР,总平面,генеральный план,Внутренний словарь РК,APPROVED,
АР,办公楼,административно-бытовой корпус,Внутренний словарь РК,APPROVED,
